"DA_UID","Population","Neighbourhood","Cluster","CommunityArea"
"46110001",3966,"Rosser-Old Kildonan","Seven Oaks West","Seven Oaks"
"46110002",3678,"Rosser-Old Kildonan","Seven Oaks West","Seven Oaks"
"46110003",563,"Templeton-Sinclair","Seven Oaks East","Seven Oaks"
"46110004",449,"Templeton-Sinclair","Seven Oaks East","Seven Oaks"
"46110005",1039,"Templeton-Sinclair","Seven Oaks East","Seven Oaks"
"46110006",518,"Templeton-Sinclair","Seven Oaks East","Seven Oaks"
"46110007",609,"Templeton-Sinclair","Seven Oaks East","Seven Oaks"
"46110008",501,"Templeton-Sinclair","Seven Oaks East","Seven Oaks"
"46110009",308,"Templeton-Sinclair","Seven Oaks East","Seven Oaks"
"46110010",795,"Garden City","Seven Oaks East","Seven Oaks"
"46110011",639,"Jefferson","Seven Oaks East","Seven Oaks"
"46110012",593,"Jefferson","Seven Oaks East","Seven Oaks"
"46110013",692,"Jefferson","Seven Oaks East","Seven Oaks"
"46110014",704,"Jefferson","Seven Oaks East","Seven Oaks"
"46110015",614,"Jefferson","Seven Oaks East","Seven Oaks"
"46110016",517,"Margaret Park","Seven Oaks East","Seven Oaks"
"46110017",579,"Seven Oaks","Seven Oaks East","Seven Oaks"
"46110018",755,"Jefferson","Seven Oaks East","Seven Oaks"
"46110019",627,"Seven Oaks","Seven Oaks East","Seven Oaks"
"46110020",704,NA,NA,NA
"46110021",753,"Seven Oaks","Seven Oaks East","Seven Oaks"
"46110022",521,"Jefferson","Seven Oaks East","Seven Oaks"
"46110023",613,"Jefferson","Seven Oaks East","Seven Oaks"
"46110024",623,"Jefferson","Seven Oaks East","Seven Oaks"
"46110025",631,"Jefferson","Seven Oaks East","Seven Oaks"
"46110026",589,"Jefferson","Seven Oaks East","Seven Oaks"
"46110027",591,"Jefferson","Seven Oaks East","Seven Oaks"
"46110028",586,"Jefferson","Seven Oaks East","Seven Oaks"
"46110029",678,"Jefferson","Seven Oaks East","Seven Oaks"
"46110030",525,"Garden City","Seven Oaks East","Seven Oaks"
"46110031",874,"Garden City","Seven Oaks East","Seven Oaks"
"46110032",627,"Garden City","Seven Oaks East","Seven Oaks"
"46110033",659,"Garden City","Seven Oaks East","Seven Oaks"
"46110034",585,"Garden City","Seven Oaks East","Seven Oaks"
"46110035",472,"Garden City","Seven Oaks East","Seven Oaks"
"46110036",475,"Garden City","Seven Oaks East","Seven Oaks"
"46110037",590,"Garden City","Seven Oaks East","Seven Oaks"
"46110038",572,"Leila-McPhillips Triangle","Seven Oaks East","Seven Oaks"
"46110039",682,"Leila-McPhillips Triangle","Seven Oaks East","Seven Oaks"
"46110040",437,"Leila-McPhillips Triangle","Seven Oaks East","Seven Oaks"
"46110041",878,"Mynarski","Point Douglas North","Point Douglas"
"46110042",724,"Robertson","Point Douglas North","Point Douglas"
"46110043",678,"Robertson","Point Douglas North","Point Douglas"
"46110044",777,"Robertson","Point Douglas North","Point Douglas"
"46110045",595,"Robertson","Point Douglas North","Point Douglas"
"46110046",638,"Robertson","Point Douglas North","Point Douglas"
"46110047",619,"Burrows Central","Point Douglas North","Point Douglas"
"46110048",467,"Burrows Central","Point Douglas North","Point Douglas"
"46110049",535,"Burrows Central","Point Douglas North","Point Douglas"
"46110050",513,"Burrows Central","Point Douglas North","Point Douglas"
"46110051",608,"William Whyte","Point Douglas South","Point Douglas"
"46110052",603,"William Whyte","Point Douglas South","Point Douglas"
"46110053",545,"Dufferin","Point Douglas South","Point Douglas"
"46110054",562,"Dufferin","Point Douglas South","Point Douglas"
"46110055",494,"Dufferin Industrial","Point Douglas South","Point Douglas"
"46110056",575,"William Whyte","Point Douglas South","Point Douglas"
"46110057",628,"William Whyte","Point Douglas South","Point Douglas"
"46110058",536,"William Whyte","Point Douglas South","Point Douglas"
"46110059",675,"St. John's","Point Douglas North","Point Douglas"
"46110060",652,"William Whyte","Point Douglas South","Point Douglas"
"46110061",563,"William Whyte","Point Douglas South","Point Douglas"
"46110062",504,"St. John's","Point Douglas North","Point Douglas"
"46110063",531,"St. John's","Point Douglas North","Point Douglas"
"46110064",578,"William Whyte","Point Douglas South","Point Douglas"
"46110065",572,"William Whyte","Point Douglas South","Point Douglas"
"46110066",624,"William Whyte","Point Douglas South","Point Douglas"
"46110067",582,"William Whyte","Point Douglas South","Point Douglas"
"46110068",514,"Lord Selkirk Park","Point Douglas South","Point Douglas"
"46110069",973,"Lord Selkirk Park","Point Douglas South","Point Douglas"
"46110070",581,"Logan-C.P.R.","Downtown East","Downtown"
"46110071",1028,"Centennial","Downtown East","Downtown"
"46110072",745,"Centennial","Downtown East","Downtown"
"46110073",410,"West Alexander","Downtown East","Downtown"
"46110074",899,"West Alexander","Downtown East","Downtown"
"46110075",519,"West Alexander","Downtown East","Downtown"
"46110076",381,"Spence","Downtown East","Downtown"
"46110077",562,"Spence","Downtown East","Downtown"
"46110078",645,"Central Park","Downtown East","Downtown"
"46110079",876,"West Alexander","Downtown East","Downtown"
"46110080",769,"Central Park","Downtown East","Downtown"
"46110081",571,"Central Park","Downtown East","Downtown"
"46110082",530,"Spence","Downtown East","Downtown"
"46110083",638,"Spence","Downtown East","Downtown"
"46110084",815,"Spence","Downtown East","Downtown"
"46110085",555,"Daniel McIntyre","Downtown West","Downtown"
"46110086",504,"Daniel McIntyre","Downtown West","Downtown"
"46110087",628,"Daniel McIntyre","Downtown West","Downtown"
"46110088",539,"Daniel McIntyre","Downtown West","Downtown"
"46110089",515,"Daniel McIntyre","Downtown West","Downtown"
"46110090",476,"Daniel McIntyre","Downtown West","Downtown"
"46110091",617,"Sargent Park","Downtown West","Downtown"
"46110092",482,"Minto","Downtown West","Downtown"
"46110093",404,"St. Matthews","Downtown West","Downtown"
"46110094",678,"St. Matthews","Downtown West","Downtown"
"46110095",442,"St. Matthews","Downtown West","Downtown"
"46110096",489,"St. Matthews","Downtown West","Downtown"
"46110097",498,"St. Matthews","Downtown West","Downtown"
"46110098",431,"St. Matthews","Downtown West","Downtown"
"46110099",433,"St. Matthews","Downtown West","Downtown"
"46110100",645,"St. Matthews","Downtown West","Downtown"
"46110101",402,"St. Matthews","Downtown West","Downtown"
"46110102",408,"St. Matthews","Downtown West","Downtown"
"46110103",220,"St. Matthews","Downtown West","Downtown"
"46110104",649,"St. Matthews","Downtown West","Downtown"
"46110105",499,"Minto","Downtown West","Downtown"
"46110106",680,"Minto","Downtown West","Downtown"
"46110107",530,"Minto","Downtown West","Downtown"
"46110108",564,"Wolseley","Downtown West","Downtown"
"46110109",603,"Wolseley","Downtown West","Downtown"
"46110110",427,"Minto","Downtown West","Downtown"
"46110111",674,"Wolseley","Downtown West","Downtown"
"46110112",525,"Wolseley","Downtown West","Downtown"
"46110113",775,"Polo Park","Downtown West","Downtown"
"46110114",455,"Minto","Downtown West","Downtown"
"46110115",437,"Minto","Downtown West","Downtown"
"46110116",500,"Minto","Downtown West","Downtown"
"46110117",591,"Polo Park","Downtown West","Downtown"
"46110118",677,"Sargent Park","Downtown West","Downtown"
"46110119",446,"St. James Industrial","St. James-Assiniboia East","St. James-Assiniboia"
"46110120",725,"Sargent Park","Downtown West","Downtown"
"46110121",808,"Sargent Park","Downtown West","Downtown"
"46110122",454,"Minto","Downtown West","Downtown"
"46110123",618,"Sargent Park","Downtown West","Downtown"
"46110124",448,"Daniel McIntyre","Downtown West","Downtown"
"46110125",475,"Daniel McIntyre","Downtown West","Downtown"
"46110126",607,"Daniel McIntyre","Downtown West","Downtown"
"46110127",532,"Daniel McIntyre","Downtown West","Downtown"
"46110128",303,"Daniel McIntyre","Downtown West","Downtown"
"46110129",589,"Daniel McIntyre","Downtown West","Downtown"
"46110130",588,"Daniel McIntyre","Downtown West","Downtown"
"46110131",415,"Spence","Downtown East","Downtown"
"46110132",558,"Daniel McIntyre","Downtown West","Downtown"
"46110133",310,"Daniel McIntyre","Downtown West","Downtown"
"46110134",510,"Daniel McIntyre","Downtown West","Downtown"
"46110135",393,"West Alexander","Downtown East","Downtown"
"46110136",589,"West Alexander","Downtown East","Downtown"
"46110137",483,"West Alexander","Downtown East","Downtown"
"46110138",744,"Daniel McIntyre","Downtown West","Downtown"
"46110139",366,"Daniel McIntyre","Downtown West","Downtown"
"46110140",337,"Daniel McIntyre","Downtown West","Downtown"
"46110141",603,"Sargent Park","Downtown West","Downtown"
"46110142",685,"Sargent Park","Downtown West","Downtown"
"46110143",516,"Sargent Park","Downtown West","Downtown"
"46110144",677,"Pacific Industrial","Inkster East","Inkster"
"46110145",547,"St. James Industrial","St. James-Assiniboia East","St. James-Assiniboia"
"46110146",744,"Weston","Inkster East","Inkster"
"46110147",589,"Weston","Inkster East","Inkster"
"46110148",655,"Weston","Inkster East","Inkster"
"46110149",598,"Weston","Inkster East","Inkster"
"46110150",703,"Weston","Inkster East","Inkster"
"46110152",652,"Weston","Inkster East","Inkster"
"46110153",643,"Weston","Inkster East","Inkster"
"46110155",485,"Weston Shops","Inkster East","Inkster"
"46110156",355,"Shaughnessy Park","Inkster East","Inkster"
"46110157",566,"Burrows-Keewatin","Inkster East","Inkster"
"46110158",495,"Burrows-Keewatin","Inkster East","Inkster"
"46110160",440,"Burrows-Keewatin","Inkster East","Inkster"
"46110162",553,"Inkster Industrial Park","Inkster East","Inkster"
"46110163",1310,"Mynarski","Point Douglas North","Point Douglas"
"46110164",646,"Shaughnessy Park","Inkster East","Inkster"
"46110165",645,"Robertson","Point Douglas North","Point Douglas"
"46110166",657,"Burrows Central","Point Douglas North","Point Douglas"
"46110167",620,"Burrows Central","Point Douglas North","Point Douglas"
"46110168",598,"Burrows Central","Point Douglas North","Point Douglas"
"46110169",826,"Burrows Central","Point Douglas North","Point Douglas"
"46110170",730,"Burrows Central","Point Douglas North","Point Douglas"
"46110171",663,"Dufferin","Point Douglas South","Point Douglas"
"46110172",614,"Shaughnessy Park","Inkster East","Inkster"
"46110173",813,"Shaughnessy Park","Inkster East","Inkster"
"46110174",442,"Logan-C.P.R.","Downtown East","Downtown"
"46110175",599,"West Alexander","Downtown East","Downtown"
"46110176",722,"Centennial","Downtown East","Downtown"
"46110177",957,"The Maples","Seven Oaks West","Seven Oaks"
"46110178",520,"The Maples","Seven Oaks West","Seven Oaks"
"46110179",529,"The Maples","Seven Oaks West","Seven Oaks"
"46110180",541,"The Maples","Seven Oaks West","Seven Oaks"
"46110181",810,"The Maples","Seven Oaks West","Seven Oaks"
"46110182",599,"The Maples","Seven Oaks West","Seven Oaks"
"46110183",455,"The Maples","Seven Oaks West","Seven Oaks"
"46110184",559,"The Maples","Seven Oaks West","Seven Oaks"
"46110185",452,"The Maples","Seven Oaks West","Seven Oaks"
"46110186",627,"The Maples","Seven Oaks West","Seven Oaks"
"46110187",596,"The Maples","Seven Oaks West","Seven Oaks"
"46110188",729,"The Maples","Seven Oaks West","Seven Oaks"
"46110189",587,"Mandalay West","Seven Oaks West","Seven Oaks"
"46110190",724,"Mandalay West","Seven Oaks West","Seven Oaks"
"46110191",596,"Mandalay West","Seven Oaks West","Seven Oaks"
"46110192",262,"Mandalay West","Seven Oaks West","Seven Oaks"
"46110193",1817,"Mandalay West","Seven Oaks West","Seven Oaks"
"46110194",602,"Mandalay West","Seven Oaks West","Seven Oaks"
"46110195",350,"Mandalay West","Seven Oaks West","Seven Oaks"
"46110196",485,"Mandalay West","Seven Oaks West","Seven Oaks"
"46110197",558,"Inkster Gardens","Inkster West","Inkster"
"46110198",421,"Inkster Gardens","Inkster West","Inkster"
"46110199",274,"Inkster Gardens","Inkster West","Inkster"
"46110200",585,"Inkster Gardens","Inkster West","Inkster"
"46110201",705,"Inkster Gardens","Inkster West","Inkster"
"46110202",579,"Tyndall Park","Inkster West","Inkster"
"46110203",537,"Tyndall Park","Inkster West","Inkster"
"46110204",417,"Tyndall Park","Inkster West","Inkster"
"46110205",456,"Tyndall Park","Inkster West","Inkster"
"46110206",521,"Tyndall Park","Inkster West","Inkster"
"46110207",403,"Tyndall Park","Inkster West","Inkster"
"46110208",384,"Tyndall Park","Inkster West","Inkster"
"46110209",583,"Tyndall Park","Inkster West","Inkster"
"46110210",484,"Tyndall Park","Inkster West","Inkster"
"46110211",603,"Tyndall Park","Inkster West","Inkster"
"46110212",494,"Tyndall Park","Inkster West","Inkster"
"46110213",334,"Tyndall Park","Inkster West","Inkster"
"46110214",436,"Tyndall Park","Inkster West","Inkster"
"46110215",420,"Tyndall Park","Inkster West","Inkster"
"46110216",382,"Tyndall Park","Inkster West","Inkster"
"46110217",424,"Tyndall Park","Inkster West","Inkster"
"46110218",573,"Tyndall Park","Inkster West","Inkster"
"46110219",707,"Tyndall Park","Inkster West","Inkster"
"46110220",619,"Tyndall Park","Inkster West","Inkster"
"46110221",484,"Tyndall Park","Inkster West","Inkster"
"46110222",403,"Tyndall Park","Inkster West","Inkster"
"46110223",585,"Tyndall Park","Inkster West","Inkster"
"46110224",519,"Oak Point Highway","Inkster West","Inkster"
"46110225",443,"Tyndall Park","Inkster West","Inkster"
"46110226",603,"Oak Point Highway","Inkster West","Inkster"
"46110227",624,"Omand's Creek Industrial","St. James-Assiniboia East","St. James-Assiniboia"
"46110228",550,"Oak Point Highway","Inkster West","Inkster"
"46110229",600,"Brooklands","Inkster East","Inkster"
"46110230",647,"Brooklands","Inkster East","Inkster"
"46110231",693,"Brooklands","Inkster East","Inkster"
"46110238",475,"St. James Industrial","St. James-Assiniboia East","St. James-Assiniboia"
"46110239",712,"King Edward","St. James-Assiniboia East","St. James-Assiniboia"
"46110240",751,"King Edward","St. James-Assiniboia East","St. James-Assiniboia"
"46110241",496,"King Edward","St. James-Assiniboia East","St. James-Assiniboia"
"46110242",456,"King Edward","St. James-Assiniboia East","St. James-Assiniboia"
"46110243",550,"King Edward","St. James-Assiniboia East","St. James-Assiniboia"
"46110244",614,"King Edward","St. James-Assiniboia East","St. James-Assiniboia"
"46110245",339,"Polo Park","Downtown West","Downtown"
"46110246",590,"Kensington","St. James-Assiniboia East","St. James-Assiniboia"
"46110247",629,"Bruce Park","St. James-Assiniboia East","St. James-Assiniboia"
"46110248",504,"Bruce Park","St. James-Assiniboia East","St. James-Assiniboia"
"46110249",364,"Bruce Park","St. James-Assiniboia East","St. James-Assiniboia"
"46110250",468,"Bruce Park","St. James-Assiniboia East","St. James-Assiniboia"
"46110251",621,"King Edward","St. James-Assiniboia East","St. James-Assiniboia"
"46110252",503,"King Edward","St. James-Assiniboia East","St. James-Assiniboia"
"46110253",556,"King Edward","St. James-Assiniboia East","St. James-Assiniboia"
"46110254",603,"Deer Lodge","St. James-Assiniboia East","St. James-Assiniboia"
"46110255",451,"Deer Lodge","St. James-Assiniboia East","St. James-Assiniboia"
"46110256",482,"Deer Lodge","St. James-Assiniboia East","St. James-Assiniboia"
"46110257",551,"Deer Lodge","St. James-Assiniboia East","St. James-Assiniboia"
"46110258",575,"Deer Lodge","St. James-Assiniboia East","St. James-Assiniboia"
"46110259",480,"Deer Lodge","St. James-Assiniboia East","St. James-Assiniboia"
"46110260",519,"Birchwood","St. James-Assiniboia East","St. James-Assiniboia"
"46110261",555,"Silver Heights","St. James-Assiniboia East","St. James-Assiniboia"
"46110262",598,"Silver Heights","St. James-Assiniboia East","St. James-Assiniboia"
"46110263",369,"Silver Heights","St. James-Assiniboia East","St. James-Assiniboia"
"46110264",554,"Silver Heights","St. James-Assiniboia East","St. James-Assiniboia"
"46110265",605,"Silver Heights","St. James-Assiniboia East","St. James-Assiniboia"
"46110266",593,"Silver Heights","St. James-Assiniboia East","St. James-Assiniboia"
"46110267",416,"Jameswood","St. James-Assiniboia East","St. James-Assiniboia"
"46110272",427,"Jameswood","St. James-Assiniboia East","St. James-Assiniboia"
"46110273",553,"Jameswood","St. James-Assiniboia East","St. James-Assiniboia"
"46110274",937,"Silver Heights","St. James-Assiniboia East","St. James-Assiniboia"
"46110275",287,"Booth","St. James-Assiniboia East","St. James-Assiniboia"
"46110276",555,"Booth","St. James-Assiniboia East","St. James-Assiniboia"
"46110277",411,"Booth","St. James-Assiniboia East","St. James-Assiniboia"
"46110278",385,"Booth","St. James-Assiniboia East","St. James-Assiniboia"
"46110279",511,"Booth","St. James-Assiniboia East","St. James-Assiniboia"
"46110280",617,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110281",798,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110282",697,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110283",402,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110284",517,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110285",389,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110286",382,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110287",227,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110288",886,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110289",429,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110291",374,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110292",562,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110293",650,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110294",520,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110295",628,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110296",384,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110297",519,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110298",472,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110299",642,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110300",601,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110301",1215,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110302",771,"Murray Industrial Park","St. James-Assiniboia East","St. James-Assiniboia"
"46110303",1129,"Booth","St. James-Assiniboia East","St. James-Assiniboia"
"46110306",352,"Saskatchewan North","St. James-Assiniboia West","St. James-Assiniboia"
"46110307",436,"Buchanan","St. James-Assiniboia West","St. James-Assiniboia"
"46110308",347,"Buchanan","St. James-Assiniboia West","St. James-Assiniboia"
"46110309",472,"Buchanan","St. James-Assiniboia West","St. James-Assiniboia"
"46110310",630,"Buchanan","St. James-Assiniboia West","St. James-Assiniboia"
"46110312",789,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110313",789,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110314",526,"Westwood","St. James-Assiniboia West","St. James-Assiniboia"
"46110315",610,"Westwood","St. James-Assiniboia West","St. James-Assiniboia"
"46110316",601,"Westwood","St. James-Assiniboia West","St. James-Assiniboia"
"46110317",435,"Westwood","St. James-Assiniboia West","St. James-Assiniboia"
"46110318",412,"Westwood","St. James-Assiniboia West","St. James-Assiniboia"
"46110319",651,"Westwood","St. James-Assiniboia West","St. James-Assiniboia"
"46110320",501,"Westwood","St. James-Assiniboia West","St. James-Assiniboia"
"46110321",446,"Westwood","St. James-Assiniboia West","St. James-Assiniboia"
"46110322",547,"Westwood","St. James-Assiniboia West","St. James-Assiniboia"
"46110323",458,"Westwood","St. James-Assiniboia West","St. James-Assiniboia"
"46110324",529,"Westwood","St. James-Assiniboia West","St. James-Assiniboia"
"46110325",685,"Kirkfield","St. James-Assiniboia West","St. James-Assiniboia"
"46110326",529,"Kirkfield","St. James-Assiniboia West","St. James-Assiniboia"
"46110327",628,"Kirkfield","St. James-Assiniboia West","St. James-Assiniboia"
"46110328",486,"Kirkfield","St. James-Assiniboia West","St. James-Assiniboia"
"46110329",1051,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110330",845,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110331",162,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110332",811,"Kirkfield","St. James-Assiniboia West","St. James-Assiniboia"
"46110333",433,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110334",358,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110335",299,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110336",446,"Airport","St. James-Assiniboia West","St. James-Assiniboia"
"46110337",593,"Woodhaven","St. James-Assiniboia East","St. James-Assiniboia"
"46110338",362,"Woodhaven","St. James-Assiniboia East","St. James-Assiniboia"
"46110339",564,"Booth","St. James-Assiniboia East","St. James-Assiniboia"
"46110340",1204,"Booth","St. James-Assiniboia East","St. James-Assiniboia"
"46110341",610,"Booth","St. James-Assiniboia East","St. James-Assiniboia"
"46110342",510,"Silver Heights","St. James-Assiniboia East","St. James-Assiniboia"
"46110343",733,"Birchwood","St. James-Assiniboia East","St. James-Assiniboia"
"46110344",562,"Silver Heights","St. James-Assiniboia East","St. James-Assiniboia"
"46110345",429,"Silver Heights","St. James-Assiniboia East","St. James-Assiniboia"
"46110346",451,"Vialoux","Assiniboine South","Assiniboine South"
"46110347",468,"Vialoux","Assiniboine South","Assiniboine South"
"46110348",392,"Varsity View","Assiniboine South","Assiniboine South"
"46110349",426,"Varsity View","Assiniboine South","Assiniboine South"
"46110350",742,"Varsity View","Assiniboine South","Assiniboine South"
"46110351",405,"Varsity View","Assiniboine South","Assiniboine South"
"46110352",639,"Elmhurst","Assiniboine South","Assiniboine South"
"46110353",555,"Elmhurst","Assiniboine South","Assiniboine South"
"46110354",472,"Elmhurst","Assiniboine South","Assiniboine South"
"46110355",265,"Eric Coy","Assiniboine South","Assiniboine South"
"46110356",463,"Elmhurst","Assiniboine South","Assiniboine South"
"46110357",421,"Elmhurst","Assiniboine South","Assiniboine South"
"46110358",426,"Ridgewood South","Assiniboine South","Assiniboine South"
"46110359",684,"Elmhurst","Assiniboine South","Assiniboine South"
"46110360",386,"Elmhurst","Assiniboine South","Assiniboine South"
"46110361",1000,"Assiniboine Park","Assiniboine South","Assiniboine South"
"46110362",492,"South Tuxedo","Assiniboine South","Assiniboine South"
"46110363",379,"South Tuxedo","Assiniboine South","Assiniboine South"
"46110364",463,"South Tuxedo","Assiniboine South","Assiniboine South"
"46110365",453,"South Tuxedo","Assiniboine South","Assiniboine South"
"46110366",842,"South Tuxedo","Assiniboine South","Assiniboine South"
"46110367",70,"South Tuxedo","Assiniboine South","Assiniboine South"
"46110368",1342,"Mathers","River Heights West","River Heights"
"46110370",405,"J. B. Mitchell","River Heights West","River Heights"
"46110371",650,"J. B. Mitchell","River Heights West","River Heights"
"46110373",500,"Sir John Franklin","River Heights West","River Heights"
"46110374",489,"Sir John Franklin","River Heights West","River Heights"
"46110375",509,"Sir John Franklin","River Heights West","River Heights"
"46110376",519,"Sir John Franklin","River Heights West","River Heights"
"46110377",404,"Sir John Franklin","River Heights West","River Heights"
"46110378",541,"North River Heights","River Heights West","River Heights"
"46110379",475,"Wellington Crescent","River Heights West","River Heights"
"46110380",467,"North River Heights","River Heights West","River Heights"
"46110381",400,"North River Heights","River Heights West","River Heights"
"46110382",560,"North River Heights","River Heights West","River Heights"
"46110383",532,"North River Heights","River Heights West","River Heights"
"46110384",410,"North River Heights","River Heights West","River Heights"
"46110385",509,"North River Heights","River Heights West","River Heights"
"46110386",512,"Crescentwood","River Heights West","River Heights"
"46110387",509,"Crescentwood","River Heights West","River Heights"
"46110388",444,"Crescentwood","River Heights West","River Heights"
"46110389",559,"Rockwood","River Heights West","River Heights"
"46110390",514,"Crescentwood","River Heights West","River Heights"
"46110391",551,"Earl Grey","River Heights West","River Heights"
"46110392",509,"Earl Grey","River Heights West","River Heights"
"46110393",500,"Earl Grey","River Heights West","River Heights"
"46110394",428,"Earl Grey","River Heights West","River Heights"
"46110395",459,"McMillan","River Heights East","River Heights"
"46110396",485,"McMillan","River Heights East","River Heights"
"46110397",987,"Roslyn","River Heights East","River Heights"
"46110398",502,"McMillan","River Heights East","River Heights"
"46110399",536,"Roslyn","River Heights East","River Heights"
"46110402",869,"Roslyn","River Heights East","River Heights"
"46110403",674,"McMillan","River Heights East","River Heights"
"46110404",1042,"River-Osborne","River Heights East","River Heights"
"46110405",763,"River-Osborne","River Heights East","River Heights"
"46110406",692,"River-Osborne","River Heights East","River Heights"
"46110407",608,"River-Osborne","River Heights East","River Heights"
"46110408",978,"River-Osborne","River Heights East","River Heights"
"46110409",642,"River-Osborne","River Heights East","River Heights"
"46110410",354,"McMillan","River Heights East","River Heights"
"46110411",436,"McMillan","River Heights East","River Heights"
"46110412",386,"Earl Grey","River Heights West","River Heights"
"46110413",391,"McMillan","River Heights East","River Heights"
"46110414",554,"Earl Grey","River Heights West","River Heights"
"46110415",566,"Earl Grey","River Heights West","River Heights"
"46110416",552,"Ebby-Wentworth","River Heights West","River Heights"
"46110417",518,"Earl Grey","River Heights West","River Heights"
"46110418",588,"Ebby-Wentworth","River Heights West","River Heights"
"46110419",692,"Grant Park","River Heights West","River Heights"
"46110420",727,"Rockwood","River Heights West","River Heights"
"46110421",425,"Grant Park","River Heights West","River Heights"
"46110422",569,"Rockwood","River Heights West","River Heights"
"46110423",544,"Rockwood","River Heights West","River Heights"
"46110424",634,"Rockwood","River Heights West","River Heights"
"46110425",488,"Rockwood","River Heights West","River Heights"
"46110426",469,"Rockwood","River Heights West","River Heights"
"46110427",564,"Rockwood","River Heights West","River Heights"
"46110428",516,"Grant Park","River Heights West","River Heights"
"46110429",685,"Grant Park","River Heights West","River Heights"
"46110430",547,"Beaumont","Fort Garry North","Fort Garry"
"46110431",593,"Beaumont","Fort Garry North","Fort Garry"
"46110432",580,"Beaumont","Fort Garry North","Fort Garry"
"46110433",613,"Maybank","Fort Garry North","Fort Garry"
"46110434",467,"Maybank","Fort Garry North","Fort Garry"
"46110435",403,"Maybank","Fort Garry North","Fort Garry"
"46110436",662,"Maybank","Fort Garry North","Fort Garry"
"46110437",420,"Crescent Park","Fort Garry North","Fort Garry"
"46110438",435,"Crescent Park","Fort Garry North","Fort Garry"
"46110439",495,"Crescent Park","Fort Garry North","Fort Garry"
"46110440",471,"Crescent Park","Fort Garry North","Fort Garry"
"46110441",598,"Point Road","Fort Garry North","Fort Garry"
"46110442",441,"Point Road","Fort Garry North","Fort Garry"
"46110443",392,"Point Road","Fort Garry North","Fort Garry"
"46110444",551,"Wildwood","Fort Garry North","Fort Garry"
"46110445",433,"Lord Roberts","River Heights East","River Heights"
"46110446",472,"Lord Roberts","River Heights East","River Heights"
"46110447",450,"Lord Roberts","River Heights East","River Heights"
"46110448",916,"Lord Roberts","River Heights East","River Heights"
"46110449",521,"Lord Roberts","River Heights East","River Heights"
"46110450",660,"Lord Roberts","River Heights East","River Heights"
"46110451",520,"Lord Roberts","River Heights East","River Heights"
"46110452",646,"Riverview","River Heights East","River Heights"
"46110453",476,"Riverview","River Heights East","River Heights"
"46110454",481,"Riverview","River Heights East","River Heights"
"46110455",536,"Riverview","River Heights East","River Heights"
"46110456",365,"Riverview","River Heights East","River Heights"
"46110457",787,"Riverview","River Heights East","River Heights"
"46110458",488,"Riverview","River Heights East","River Heights"
"46110459",434,"Riverview","River Heights East","River Heights"
"46110460",372,"Lord Roberts","River Heights East","River Heights"
"46110461",347,"Lord Roberts","River Heights East","River Heights"
"46110462",413,"Lord Roberts","River Heights East","River Heights"
"46110463",436,"Riverview","River Heights East","River Heights"
"46110464",740,"Kingston Crescent","St. Vital North","St. Vital"
"46110464",740,"Wildwood","Fort Garry North","Fort Garry"
"46110465",423,"Wildwood","Fort Garry North","Fort Garry"
"46110466",743,"Wildwood","Fort Garry North","Fort Garry"
"46110467",467,"Victoria Crescent","St. Vital North","St. Vital"
"46110468",468,"Pulberry","St. Vital North","St. Vital"
"46110469",428,"Pulberry","St. Vital North","St. Vital"
"46110470",572,"Pulberry","St. Vital North","St. Vital"
"46110471",637,"Pulberry","St. Vital North","St. Vital"
"46110472",622,"Pulberry","St. Vital North","St. Vital"
"46110473",518,"Pulberry","St. Vital North","St. Vital"
